SiD,Product Name,Price
1,Macbook Air M1,92000
2,Macbook Pro 13'' M1,122000
3,Macbook Pro 14'' M1 Pro,194000
4,Macbook Pro 16'' M1 Pro,222000
5,Macbook Air 2019,80600
6,Mac Mini M1,65000
7,HP Pavilion 15,82000
8,HP Pavilion 14,80000
9,HP Laptop 14s,62000
10,HP Laptop 15s,70000
11,HP Laptop Envy,57000
12,HP Omen 16 2022,94000
13,HP Victus 15 2021,62000
14,Asus Vivobook 16 ,55000
15,Rog Zephyrus G15,110600
16,Asus Zenbook Duo,103000
17,Samsung Galaxy Book2,69900
18,Samsung Galaxy Book2 Pro,107000
19,Samsung Galaxy Book2 360,99000
20,Samsung Galaxy Book Go,37000
